last                   credit    wus  last_change         credit_change    wus_change       ppd
2021-01-21 10:36:17  28649157    719  0:40:00                    126663             1   4559868
2021-01-21 09:56:17  28522494    718  2:39:51                    367534             2   3310909
2021-01-21 07:16:26  28154960    716  0:29:21                    138761             2   6808035
2021-01-21 06:47:05  28016199    714  2:20:51                    152499             3   1559095
2021-01-21 04:26:14  27863700    711  1:49:46                    205071             3   2690272
2021-01-21 02:36:28  27658629    708  1:50:04                     16321             1    213527
2021-01-21 00:46:24  27642308    707  1:10:02                    160244             2   3294879
2021-01-20 23:36:22  27482064    705  8:46:18                     38514             1    105377
2021-01-20 14:50:04  27443550    704  1:13:49                    170991             1   3335656
2021-01-20 13:36:15  27272559    703  1:59:53                    309731             4   3720389
2021-01-20 11:36:22  26962828    699  1:00:04                    278850             1   6684972
2021-01-20 10:36:18  26683978    698  0:49:58                     18851             2    543270
2021-01-20 09:46:20  26665127    696  21:09:59                   415621             7    471261
2021-01-19 12:36:21  26249506    689  1:19:58                    234594             2   4224452
2021-01-19 11:16:23  26014912    687  0:30:05                    272557             1  13046495
2021-01-19 10:46:18  25742355    686  1:40:07                     34208             2    492021
2021-01-19 09:06:11  25708147    684  9:19:42                    376826             3    969500
2021-01-18 23:46:29  25331321    681  1:00:19                    112385             1   2683079
2021-01-18 22:46:10  25218936    680  1:09:45                    113563             2   2344526
2021-01-18 21:36:25  25105373    678  1:00:09                    201638             3   4827243
2021-01-18 20:36:16  24903735    675  1:20:01                      3798             1     68349
2021-01-18 19:16:15  24899937    674  4:29:47                     11442             2     61073
2021-01-18 14:46:28  24888495    672  1:10:16                    129734             2   2658685
2021-01-18 13:36:12  24758761    670  2:19:47                    403247             4   4154112
2021-01-18 11:16:25  24355514    666  0:50:03                    145216             3   4178042
2021-01-18 10:26:22  24210298    663  0:40:03                    222820             2   8011505
2021-01-18 09:46:19  23987478    661  2:20:06                    296532             7   3047866
2021-01-18 07:26:13  23690946    654  20 days, 0:50:25           186541             3      9310
2020-12-29 06:35:48  23504405    651  8 days, 10:40:24           276034             1     32687
2020-12-20 19:55:24  23228371    650  3:00:01                    412133             2   3296758
2020-12-20 16:55:23  22816238    648  1:09:45                    165132             1   3409176
2020-12-20 15:45:38  22651106    647  2:39:59                    385717             2   3471814
2020-12-20 13:05:39  22265389    645  1:30:01                    195884             1   3133563
2020-12-20 11:35:38  22069505    644  16:20:01                   254749             2    374318
2020-12-19 19:15:37  21814756    642  12:50:11                    64467             1    120532
2020-12-19 06:25:26  21750289    641  20:29:59                   220646             1    258320
2020-12-18 09:55:27  21529643    640  2 days, 5:10:05            242787             1    109593
2020-12-16 04:45:22  21286856    639  12:19:50                    68046             1    132443
2020-12-15 16:25:32  21218810    638  6:50:05                    215587             1    757029
2020-12-15 09:35:27  21003223    637  1 day, 12:29:57             67825             1     44598
2020-12-13 21:05:30  20935398    636  1:10:14                     15727             1    322452
2020-12-13 19:55:16  20919671    635  2:49:50                    330540             2   2802615
2020-12-13 17:05:26  20589131    633  1:20:08                    163271             1   2933988
2020-12-13 15:45:18  20425860    632  2:29:30                    324750             2   3128026
2020-12-13 13:15:48  20101110    630  1:20:19                    165486             1   2967003
2020-12-13 11:55:29  19935624    629  2:00:12                    230438             1   2760654
2020-12-13 09:55:17  19705186    628  6:30:02                    172143             2    635550
2020-12-13 03:25:15  19533043    626  1:59:38                    227827             1   2742303
2020-12-13 01:25:37  19305216    625  1:50:15                    232179             1   3032542
2020-12-12 23:35:22  19073037    624  1:49:58                    241427             1   3161456
2020-12-12 21:45:24  18831610    623  3:00:10                    404305             2   3231447
2020-12-12 18:45:14  18427305    621  1:49:51                    301373             1   3950633
2020-12-12 16:55:23  18125932    620  1:49:56                    241536             1   3163843
2020-12-12 15:05:27  17884396    619  1:30:00                    196357             1   3141712
2020-12-12 13:35:27  17688039    618  3:00:12                    411804             2   3290775
2020-12-12 10:35:15  17276235    616  1:59:48                    233757             1   2809766
2020-12-12 08:35:27  17042478    615  11:00:02                    60187             1    131310
2020-12-11 21:35:25  16982291    614  2:29:05                    209005             1   2018785
2020-12-11 19:06:20  16773286    613  5:00:38                    144160             1    690510
2020-12-11 14:05:42  16629126    612  1:50:29                    240992             1   3141002
2020-12-11 12:15:13  16388134    611  3:39:48                    482310             2   3159810
2020-12-11 08:35:25  15905824    609  1:50:14                    241155             1   3150255
2020-12-11 06:45:11  15664669    608  12:09:53                    93296             1    184065
2020-12-10 18:35:18  15571373    607  1:50:09                    240992             1   3150508
2020-12-10 16:45:09  15330381    606  3:09:48                    112000             1    849736
2020-12-10 13:35:21  15218381    605  1:40:06                    155820             1   2241566
2020-12-10 11:55:15  15062561    604  1:40:00                    148009             1   2131329
2020-12-10 10:15:15  14914552    603  2:19:50                    215587             1   2220109
2020-12-10 07:55:25  14698965    602  2:10:13                    215914             1   2387683
2020-12-10 05:45:12  14483051    601  1:37:50                    156223             1   2299432
2020-12-10 04:07:22  14326828    600  6:00:32                    295447             2   1180039
2020-12-09 22:06:50  14031381    598  1:51:36                    177959             1   2296245
2020-12-09 20:15:14  13853422    597  1:29:46                    163770             1   2627131
2020-12-09 18:45:28  13689652    596  2:10:15                    217600             1   2405712
2020-12-09 16:35:13  13472052    595  2:00:04                    232886             1   2793080
2020-12-09 14:35:09  13239166    594  1:49:44                    240448             1   3155332
2020-12-09 12:45:25  12998718    593  3:10:15                    435629             2   3297270
2020-12-09 09:35:10  12563089    591  1:19:53                    172448             1   3108597
2020-12-09 08:15:17  12390641    590  3:40:02                    122990             1    804903
2020-12-09 04:35:15  12267651    589  2:10:04                    222006             1   2457882
2020-12-09 02:25:11  12045645    588  2:10:03                    221517             1   2452783
